City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kodiak,57.79,-152.4072,2.73,48,0,5.14,Saint Paul Harbor,1669954033
1,vardo,70.3705,31.1107,0.99,93,100,1.03,Vardø,1669954034
2,puerto madryn,-42.7692,-65.0385,22.53,26,58,4.45,Puerto Madryn,1669953772
3,pisco,-13.7,-76.2167,19.03,82,0,1.54,Pisco,1669954036
4,nikolskoye,59.7035,30.7861,-10.11,85,97,1.64,Nikolskoye,1669954038
5,avarua,-21.2078,-159.775,27.03,83,75,2.57,Avarua,1669954039
6,tuktoyaktuk,69.4541,-133.0374,-14.78,91,100,7.17,Tuktoyaktuk,1669954040
7,hobyo,5.3505,48.5268,26.46,80,44,7.09,Hobyo,1669954042
8,avera,33.194,-82.5271,3.73,52,96,2.95,Avera,1669954043
9,abu samrah,35.3029,37.1841,10.81,84,35,1.1,Abu Samrah,1669954045
10,tandil,-37.3217,-59.1332,9.27,93,55,2.87,Tandil,1669954046
11,ribeira grande,38.5167,-28.7,13.21,60,2,3.13,Ribeira Grande,1669954047
12,mataura,-46.1927,168.8643,10.27,49,93,3.79,Mataura,1669954049
13,rikitea,-23.1203,-134.9692,23.95,78,19,5.15,Rikitea,1669954050
14,cambe,-23.2758,-51.2783,24.38,69,20,3.6,Cambé,1669953945
15,kapaa,22.0752,-159.319,24.99,73,75,6.69,Kapaa,1669954052
16,yerkoy,39.6381,34.4672,8.36,89,74,1.43,Yerköy,1669954055
17,victoria,22.2855,114.1577,18.3,73,81,5.81,Hong Kong,1669953776
18,ouallam,14.3188,2.0866,22.24,18,26,3.78,Ouallam,1669954057
19,saint-pierre,-21.3393,55.4781,27.73,61,0,1.54,Saint-Pierre,1669954060
20,samarai,-10.6167,150.6667,29.38,71,96,0.35,Samarai,1669954061
21,erzin,36.9559,36.2,13.9,73,29,1.69,Erzin,1669954062
22,hirara,24.8,125.2833,23.66,79,100,10.41,Hirara,1669954064
23,san jose,37.3394,-121.895,8.23,89,20,1.54,San Jose,1669953987
24,srednekolymsk,67.45,153.6833,-33.56,93,43,3.78,Srednekolymsk,1669954066
